2016/W
2016-10-25 15:42:18
classification;department;academic_year;course_number;lecture_number;course_title;credit;class_time;location;instructor;quota;enrollment;remark;category;snuev_lec_id;snuev_eval_score
전선;;2학년;M2173.000400;001;융합자연과학 II;3;월(1-3)/수(1-3)/금(1-3);500-L305/500-L305/500-L305;김희준;50;0;;;;
전선;치의학과(치의학학사과정);3학년;M2839.001800;001;치의과학 논문연구 2;2;월(1-4)/화(1-4)/수(1-4)/목(1-4)/금(1-2);043-1-102/043-1-102/043-1-102/043-1-102/043-1-102;이성중;45;0;;;;
전선;;석사;M2868.006200;001;경제동물산업기술 인턴십;3;;;김경훈;20;0;ⓔ;;;
전선;;석사;M2868.006300;001;바이오식품산업 인턴십;3;;;김도만;20;0;ⓔ;;;
전선;;석사;M2868.006600;001;국제농업개발협력 인턴십;3;;;김태윤;20;0;ⓔ;;;
교직;교육학과;3학년;T1831.000100;001;학교폭력예방의 이론과 실제;2;화(4-3)/목(4-3);009-102/009-102;윤영;30;0;;;;
교직;사회교육과(사회교육전공);3학년;T1831.000100;002;학교폭력예방의 이론과 실제;2;화(7-3)/목(7-3);011-215/011-215;;40;0;;;;
교직;교육학과;2학년;T1831.000300;001;생활지도 및 상담;2;화(4-3)/목(4-3);011-215/011-215;조애리;40;0;;;;
전선;국어국문학과;4학년;101.410;001;한국현대소설강독;3;월(4-3)/수(4-3)/금(4-3);001-103/001-103/001-103;방민호;40;0;;;;
전선;철학과;2학년;113.357;001;한국불교철학;3;월(7-3)/수(7-3)/금(7-3);014-203/014-203/014-203;;50;0;;;;
전선;철학과;3학년;113.367;001;현대프랑스철학;3;월(7-3)/수(7-3)/금(7-3);005-212/005-212/005-212;;50;0;;;;
전선;철학과;4학년;113.467A;001;윤리학특강;3;월(4-3)/수(4-3)/금(4-3);014-208/014-208/014-208;;50;0;;;;
전선;경제학부;1학년;200.105;001;경제원론 1;3;월(7-3)/수(7-3)/금(7-3);083-506/083-506/083-506;정지영;150;0;83-506,월수금 7-9교시;;;
전선;경제학부;1학년;200.105;002;경제원론 1;3;월(1-3)/수(1-3)/금(1-3);083-506/083-506/083-506;조남운;150;0;83-506, 월수금 1-3교시;;;
전선;경제학부;1학년;200.106;001;경제원론 2;3;월(4-3)/수(4-3)/금(4-3);083-404/083-404/083-404;김형진;120;0;83-404,월수금 4-6교시;;;
전선;경제학부;1학년;200.106;002;경제원론 2;3;월(7-3)/수(7-3)/금(7-3);083-604/083-604/083-604;김석호;120;0;;;;
전필;경제학부;0;212.201;001;미시경제이론;3;월(4-3)/수(4-3)/금(4-3);083-506/083-506/083-506;Elias Sanidas;150;0;ⓔ83-506, 월수금 4-6교시;;;
전필;경제학부;0;212.202;001;거시경제이론;3;월(4-3)/수(4-3)/금(4-3);083-505/083-505/083-505;김종주;150;0;83-505, 월수금 4-6교시;;;
전필;경제학부;0;212.203;001;경제사;3;월(7-3)/수(7-3)/금(7-3);083-505/083-505/083-505;박이택;150;0;83-505, 월수금 7-9교시;;;
전필;경제학부;2학년;212.204;001;경제통계학;3;월(1-3)/수(1-3)/금(1-3);083-505/083-505/083-505;전용범;150;0;83-505, 월수금 1-3교시;;;
전선;경제학부;0;212.213;001;국제경제론;3;월(7-3)/수(7-3)/금(7-3);083-404/083-404/083-404;Elias Sanidas;120;0;ⓔ83-404, 월수금 7-9교시;;;
전필;경제학부;0;212.214;001;경제수학;3;월(1-3)/수(1-3)/금(1-3);083-305/083-305/083-305;강창민;150;0;;;;
전선;경제학부;2학년;212.215;001;정치경제학입문;3;월(4-3)/수(4-3)/금(4-3);083-604/083-604/083-604;강성윤;120;0;83-604, 월수금 4-6교시;;;
전선;경제학부;3학년;212.301;001;계량경제학;3;월(4-3)/수(4-3)/금(4-3);016-111/016-111/016-111;전용범;90;0;83-404, 월수금 4-6교시;;;
전선;정치외교학부(정치학전공);2학년;216A.216;001;북한의 정치와 사회;3;월(6-3)/수(6-3)/금(6-3);016-237/016-237/016-237;;50;0;초안지 수용 여부는 정치학전공 홈페이지 참조;;;
전필;;0;251.209;001;조직행위론;3;월(4-3)/수(4-3)/금(4-3);058-119/058-119/058-119;;80;0;;;;
전필;;0;251.303;001;인사관리;3;월(7-3)/수(7-3)/금(7-3);058-325/058-325/058-325;;80;0;;;;
전필;;3학년;251.321;001;마케팅관리;3;월(7-3)/수(7-3)/금(7-3);/ /;;80;0;;;;
전선;;0;251.322;001;국제경영;3;월(1-3)/수(1-3)/금(1-3);058-324/058-324/058-324;;60;0;ⓔ;;;
전필;;0;251.424;001;경영전략;3;월(4-3)/수(4-3)/금(4-3);058-120/058-120/058-120;;60;0;ⓔ;;;
전필;;0;251.424;002;경영전략;3;월(7-3)/수(7-3)/금(7-3);058-131/058-131/058-131;;60;0;ⓔ;;;
전선;;0;251.436;001;서비스운영관리;3;월(4-3)/수(4-3)/금(4-3);058-218/058-218/058-218;김창희;40;0;;;;
전선;;0;251.436;002;서비스운영관리;3;월(7-3)/수(7-3)/금(7-3);058-218/058-218/058-218;김창희;40;0;;;;
전필;통계학과;0;326.312;001;수리통계 2;3;월(4-3)/수(4-3)/금(4-3);028-102/028-102/028-102;김우철;50;0;®통계학과, 자유전공학부(통계학과 주전공자에 한함) 수강 불가;;;
전선;생명과학부;4학년;3346.329A;001;생명과학연구실습 4;2;;;석영재;50;0;12/16 지도교수(연구실지원) 신청서 제출 12/16 환경안전교육이수증 제출 12/22~01/25 주30시간씩 실험연구 참여 01/25 결과보고서 제출 (★강의계획서 참조);;;
전선;생명과학부;4학년;3346.403;001;면역학;3;월(1-3)/수(1-3)/금(1-3);500-L306/500-L306/500-L306;정가진;50;0;;;;
전선;생명과학부;2학년;3346.410;001;환경생물학;3;월(4-3)/수(4-3)/금(4-3);024-101/024-101/024-101;John Andrew Eimes;60;0;ⓔ;;;
전선;생명과학부;3학년;3346.414;001;생명과학연구실습 2;2;;;황덕수;50;0;12/16 지도교수(연구실지원) 신청서 제출 12/16 환경안전교육이수증 제출 12/22~01/25 주30시간씩 실험연구 참여 01/25 결과보고서 제출 (★강의계획서 참조);;;
전필;전기·정보공학부;2학년;430.201A;001;논리설계 및 실험;4;월(1-3)/월(5-3)/수(1-3)/수(5-3)/금(1-3);301-202/301-308/301-202/301-308/301-202;김태환;80;0;;;;
전선;산림과학부(연합전공 글로벌환경경영학);0;538.307;001;환경경영과 지속성분석;3;월(1-3)/수(1-3)/금(1-3);200-7218/200-7218/200-7218;;30;0;;;;
교직;교육학과;2학년;700.002;001;교육심리;2;화(7-3)/목(7-3);010-1-308/010-1-308;안동근;40;0;;;;
교직;교육학과;3학년;700.003;001;교육철학 및 교육사;2;화(7-3)/목(7-3);010-110/010-110;;40;0;;;;
