2016/S
2016-09-04 12:59:44
classification;department;academic_year;course_number;lecture_number;course_title;credit;class_time;location;instructor;quota;enrollment;remark;category;snuev_lec_id;snuev_eval_score
전선;공기업정책학과;석사;M0000.004900;100;공기업과 도시공공서비스;3;화(1-3)/목(1-3)/금(8-3);057-1-321/057-1-321/057-1-321;김순은;38;39;공기업정책학과생만 수강가능;;;
전필;수리정보과학과;석사;M0000.010000;001;디지털 포렌식 실습 및 특강;3;월(3-4)/화(3-4)/수(3-4)/목(3-4)/금(3-4);/ / / /;박상준;20;10;타과생불허;;;
전선;;석사;M2090.000300;001;종합실무연습;2;;;이재민;150;140;®법학전문대학원생만 수강 가능;;;
전선;;석사;M2090.000500;001;비교법;2;;;Laurent Mayali;100;18;ⓔ®법학전문대학원생만 수강 가능;;;
전선;;석박사통합;M2090.001100;001;국제지적재산권 특강;2;;;Randall R. Rader;150;69;ⓔ®법학전문대학원생만 수강 가능;;;
전선;;2학년;M2173.000300;001;융합자연과학 I;3;월(5-3)/수(5-3)/금(5-3);500-L302/500-L302/500-L302;권희민;60;15;;;;
전선;;2학년;M2173.000400;001;융합자연과학 II;3;월(1-3)/수(1-3)/금(1-3);500-L303/500-L303/500-L303;김희준;48;13;;;;
전선;국제농업기술학과;석사;M2868.006200;001;경제동물산업기술 인턴십;3;;;염수청;20;4;ⓔ;;;
전선;국제농업기술학과;석사;M2868.006300;001;바이오식품산업 인턴십;3;;;김도만;20;4;;;;
전선;국제농업기술학과;석사;M2868.006600;001;국제농업개발협력 인턴십;3;;;김태윤;20;1;ⓔ;;;
교직;교육학과;3학년;T1831.000100;001;학교폭력예방의 이론과 실제;2;화(7-3)/목(7-3);010-110/010-110;윤영;30;28;;;;
교직;사회교육과;3학년;T1831.000100;002;학교폭력예방의 이론과 실제;2;화(1-3)/목(1-3);011-215/011-215;김자영;30;19;;;;
교직;교육학과;2학년;T1831.000300;001;생활지도 및 상담;2;화(4-3)/목(4-3);009-113/009-113;조애리;40;37;;;;
일선;영어영문학과;1학년;100.001;001;기초영어;1;월(1-3)/화(1.5-1.5)/수(1-3)/목(1.5-1.5)/금(1-3);003-109/003-109/003-109/003-109/003-109;백혜정;24;18;ⓔ수강기준에 맞지않을시 U(수강편람의 "기초영어·대학영어1·대학영어2·고급영어 신청에 대한 유의사항"반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;002;기초영어;1;월(1-3)/화(1.5-1.5)/수(1-3)/목(1.5-1.5)/금(1-3);002-102/003-114/002-102/003-114/002-102;조정곤;24;19;ⓔ수강기준에 맞지않을시 U(수강편람의 "기초영어·대학영어1·대학영어2·고급영어 신청에 대한 유의사항"반드시 확인후 신청);;;
