2016/W
2017-01-09 09:18:17
classification;department;academic_year;course_number;lecture_number;course_title;credit;class_time;location;instructor;quota;enrollment;remark;category;snuev_lec_id;snuev_eval_score
전필;경영학과(연합전공 벤처경영학);3학년;M1338.000200;001;벤처창업론;3;월(4-3)/수(4-3)/금(4-3);058-432/058-432/058-432;유병준;30;20;;;;
일선;;;M2170.000600;001;현대미국의 이해;3;;;김태균;60;0;SNU in Washington D.C.;;;
일선;;;M2170.001300;001;제네바 국제기구의 이해;3;;;안덕근;20;0;SNU in Geneva;;;
전선;;2학년;M2173.000400;001;융합자연과학 II;3;월(1-3)/수(1-3)/금(1-3);500-L305/500-L305/500-L305;김희준;50;16;;;;
전선;치의학과(치의학학사과정);3학년;M2839.001800;001;치의과학 논문연구 2;2;월(7-4)/화(7-4)/수(7-4)/목(7-4)/금(7-2);043-1-102/043-1-102/043-1-102/043-1-102/043-1-102;이성중;45;3;;;;
전선;행정학과(글로벌행정전공);석사;M2856.001400;001;중앙-지방 관계;3;월(5-3)/수(5-3)/금(5-3);057-1-321/057-1-321/057-1-321;김순은;20;23;ⓔ;;;
전선;;석사;M2868.006200;001;경제동물산업기술 인턴십;3;;;김경훈;20;4;ⓔ;;;
전선;;석사;M2868.006300;001;바이오식품산업 인턴십;3;;;김도만;20;5;ⓔ;;;
전선;;석사;M2868.006600;001;국제농업개발협력 인턴십;3;;;김태윤;20;2;ⓔ;;;
교직;교육학과;3학년;T1831.000100;001;학교폭력예방의 이론과 실제;2;화(4-3)/목(4-3);009-113/009-113;윤영;30;29;;;;
교직;사회교육과(사회교육전공);3학년;T1831.000100;002;학교폭력예방의 이론과 실제;2;화(7-3)/목(7-3);011-215/011-215;김자영;30;18;;;;
교직;교육학과;2학년;T1831.000300;001;생활지도 및 상담;2;화(4-3)/목(4-3);011-215/011-215;조애리;40;38;;;;
전선;국어국문학과;4학년;101.410;001;한국현대소설강독;3;월(4-3)/수(4-3)/금(4-3);001-103/001-103/001-103;김우영;40;9;;;;
전선;철학과;3학년;113.367;001;현대프랑스철학;3;월(7-3)/수(7-3)/금(7-3);005-212/005-212/005-212;조현수;50;20;;;;
전선;철학과;4학년;113.467A;001;윤리학특강;3;월(4-3)/수(4-3)/금(4-3);014-208/014-208/014-208;정원섭;50;17;;;;
전선;경제학부;1학년;200.105;001;경제원론 1;3;월(7-3)/수(7-3)/금(7-3);083-506/083-506/083-506;정지영;150;94;;;;
