2017/1
2017-02-07 14:59:19
classification;department;academic_year;course_number;lecture_number;course_title;credit;class_time;location;instructor;quota;enrollment;remark;category;snuev_lec_id;snuev_eval_score
전필;뇌인지과학과(뇌인지과학전공);석박사통합;M0000.000800;001;시스템 신경과학 I;3;화(5-3);203-106;이인아;20;19;학부생 수강 불가;;;
전선;뇌인지과학과(뇌인지과학전공);석박사통합;M0000.001500;001;고급 신경과학 세미나 II(Transsynaptic signaling & synaptic development);3;월(9-3);203-106;이승복;10;0;지도(담당)교수 사전 승인 필수;;;
전선;뇌인지과학과(뇌인지과학전공);석박사통합;M0000.001600;001;고급 뇌인지과학 I;3;월(1-3);203-106;오석배;10;5;강의장소: 연건캠퍼스 치의학대학원 본관 401호;;;
전선;뇌인지과학과;석박사통합;M0000.001900;001;해마 기억신경계의 구조 및 기능 이해;3;수(5-3);203-106;이인아;15;4;ⓔ학부생 수강 불가;;;
전선;뇌인지과학과(뇌인지과학전공);석박사통합;M0000.002100;001;확률적 두뇌의 이해;3;목(7-3);203-106;이상훈;15;15;강의장소: 220동 650C호;;;
전선;뇌인지과학과(뇌인지과학전공);석박사통합;M0000.002200;001;시스템 신경과학 세미나 I(맥락적 판단 신경망 ll);3;화(8-3);203-106;이상훈;20;7;지도(담당)교수 사전 승인 필수;;;
전선;뇌인지과학과(뇌인지과학전공);석박사통합;M0000.002600;001;알츠하이머병 연구 I;3;금(8-3);203-106;김기웅;10;6;강의장소: 분당서울대학교병원 중앙치매센터;;;
전선;뇌인지과학과(뇌인지과학전공);석박사통합;M0000.002800;001;임상인지신경과학 세미나 I(뇌 신경신호 처리의 이해);3;목(4-3);203-106;정천기;10;6;지도(담당)교수 사전 승인 필수, 강의장소: 서울대병원 CMI의학혁신연구센터 2층 1회의실;;;
전선;;석박사통합;M0000.003700;001;간호인력정책연구;3;목(5-3);#012-517;조성현;40;7;ⓔ;;;
전선;;석박사통합;M0000.004500;001;지역사회기반 정신간호서비스;3;화(5-3);#012-518;Heeseung Choi;25;19;ⓔ;;;
전선;융합과학부(디지털정보융합전공);석박사통합;M0000.005400;001;정보융합 데이터 분석 연구 특강(뉴럴 네트워크 실습);3;월(2-3);018-214;Wonjong Rhee;30;14;;;;
전선;;석박사통합;M0000.006000;001;후성 유전 약리학;3;화(5-3);029-106;Marc Francois Diederich;30;1;ⓔ;;;
전선;;석사;M0000.006100;001;임플란트 수복증례 비교 연구;1;;;이양진;30;30;;;;
